

b

x00 2 00
x   1
b
x 2 54
x  4
b
x 2
x   54
b
x  2100
x  2
b
x   1 0
x  2
x   0
x   2
b
x  03 2
x    3
b
x  0  2
x   1
x   3
x    0
x
x  0332
x  0
b
x3  533
x  0332
b
x  2100
x  2
b
x 0 312
x 0
x     0
b

b
x 2454
x 321 0
x   3
b
x 2 000
x 2  4
b
x0 2 00
x   0
b
x0  1 0
x   0
x   1
x   0
x   1
x   3
b

x0  1 0
x  2
b

x0 2 00
x   1
b

x 2454
x 2
x    2
b

x 2454
x    2
x     0
x    4
b

x  2100
x     2
x     3
x   0
b



b

x  21
x   3
x    0
x    2
b

x  0332
x  0
x     3
b

x   0 5
x  2
x   0
x   2
b

x  0332
x 3
x 2
x 0
b

x3  533
x  0332
b

x  2100
x  0
x 3
x 2
b

x 0 312
x     3
x     2
x     0
b

x 2454
x     0
b



b
x 245
x    4
x    2
x    5
x    4
x    2
x    4
b

x0 2 00
x   0
b

x0  1 0
x  2
b

x0 2 00
b
b

x3  103

x3  103
x3  103
b

x  0332
1   1
b

x  0332
x  0
b

x  2100
x   0
b

x  2
x   0
x   1 0
x   3

x 2454
x    2
b


b
x 2454
x    2
x    4
x    2
x    4
x    5
b

x 2454
x 2
b

13   03
x   3
x   1
x   0
b

23  1 3
x   0
x   1
x   3
x    0
x   3
x    0
x   3
b

1  03 2
x   1
x   0
x  2
b

x  00 2
2   0
x   2
x   3
x   2
x   3
x   0
b
\s
%Line 6

%Bar 46
b
1  21 0
2    3
x    1
x    0
x   3
x   1
x   0
b
%Bar 47
x  2
x   0
x   1
x   3
x    0
x    2
x    4
x    5
b
%Bar 48
0. 2454
1    2
b
%Bar 49
x 2454
x    5
x     2
x    5
b
%Bar 50
0 2454
x 2
b
%Bar 51
x 2454
x   2
b
%Bar 52
1  033
x     0
x     2
x     3
b
%Bar 53
x  0332
x     4
0  4  5
b

%Line 7

b
%Bar 54
0  255
x     4
b
%Bar 55
w 0 325
b
%Bar 56
0 0 325
x    03
b
%Bar 57
x  03 2
x    3
b
%Bar 58
x  2100
1  2
x   3
b
%Bar 59
x 2454
x 0
x 2
x   3
b
%Bar 60
x 321 0
x   0
x   1
x   3
b
%Bar 61
0 245
1    4
x    2
b
%Bar 62
x 24 5
x    4
2    5
x    4
x    2
x    4
b
%Bar 63
0.0 2 00
1   0
b

%Line 8

b
%Bar 64
10  1 0
x   3
x    0
x   3
b
%Bar 65
00  1 0
x  2
b
%Bar 66
x 2454
x   2
b
%Bar 67
1  0332
2  2
x   0
x   1
x   3
x    0
x    2
b
%Bar 68
x    3
x     0
x     2
x     3
0  4  5
b
%Bar 69
x  255
x     4
b
%Bar 70
1 0 325
2     3
x     2
x     0
x    3
x    2
x    0
b


%Line 9

b
%Bar 71
2   3
x    0
x    2
x    3
x     0
x     2
x     3
x     0
b
%Bar 72
0  0332
x  0
b
%Bar 73
1  2100
x     3
x     2
x     0
b
%Bar 74
0 2454
1 2
x   3
b
%Bar 75
0 321 0
1 0 312
x     0
b
%Bar 76
x 2454
x    2
x     0
x    4
b
%Bar 77
10 2 00
2    3
x    2
x    0
x   3
x   1
x   0
b

2  2
x   0
x   1
x   3
1    0
x   3
b

x0 2200
b
B
e


